id,yield_class,age,average_height,dbh,taper,trees_per_ha,volume_per_ha
1,3.0,80,11.0,17.6,0.457,1329.0,162.0
1,3.0,90,12.3,19.6,0.454,1152.0,196.0
1,3.0,100,13.6,21.5,0.452,1019.0,228.0
1,3.0,110,14.7,23.3,0.449,917.0,258.0
1,3.0,120,15.8,24.8,0.447,837.0,285.0
1,3.0,130,16.7,26.2,0.446,776.0,311.0
1,3.0,140,17.6,27.4,0.445,727.0,335.0
1,3.0,150,18.4,28.4,0.444,690.0,357.0
1,2.0,40,3.8,6.4,0.4,3156.0,2.0
1,2.0,50,5.2,9.0,0.363,2410.0,29.0
1,2.0,60,6.5,11.4,0.431,1943.0,56.0
1,2.0,80,9.0,15.8,0.451,1389.0,111.0
1,2.0,90,10.2,17.7,0.451,1214.0,138.0
1,2.0,100,11.3,19.5,0.449,1081.0,164.0
1,2.0,110,12.3,21.2,0.447,976.0,188.0
1,2.0,120,13.2,22.6,0.445,894.0,212.0
1,2.0,130,14.1,24.0,0.444,830.0,234.0
1,2.0,140,14.8,25.2,0.443,778.0,254.0
1,2.0,150,15.6,26.2,0.442,738.0,273.0
2,17.0,20,7.4,8.5,0.439,4133.0,75.0
2,17.0,30,13.2,13.1,0.494,2359.0,209.0
2,17.0,40,18.5,17.7,0.486,1596.0,353.0
2,17.0,50,23.1,22.1,0.473,1194.0,501.0
2,17.0,60,27.0,26.3,0.464,944.0,644.0
2,17.0,70,30.1,30.4,0.458,772.0,774.0
2,17.0,80,32.8,34.4,0.451,645.0,886.0
2,17.0,90,35.1,38.2,0.445,546.0,980.0
2,17.0,100,36.8,42.1,0.441,466.0,1056.0
2,17.0,110,38.2,45.9,0.437,401.0,1113.0
2,17.0,120,39.4,49.7,0.434,348.0,1156.0
2,16.0,20,7.0,8.2,0.421,4212.0,65.0
2,16.0,30,12.7,12.7,0.491,2442.0,194.0
2,16.0,40,17.8,17.2,0.488,1662.0,335.0
2,16.0,50,22.4,21.4,0.476,1243.0,477.0
2,16.0,60,26.1,25.5,0.466,980.0,613.0
2,16.0,70,29.2,29.5,0.458,799.0,735.0
2,16.0,80,31.8,33.4,0.452,665.0,842.0
2,16.0,90,34.0,37.3,0.447,561.0,929.0
2,16.0,100,35.7,41.0,0.442,479.0,999.0
2,16.0,110,37.1,44.7,0.438,411.0,1052.0
2,16.0,120,38.2,48.5,0.435,355.0,1090.0
2,15.0,20,6.6,7.9,0.397,4292.0,55.0
2,15.0,30,12.1,12.3,0.489,2532.0,178.0
2,15.0,40,17.1,16.6,0.488,1734.0,313.0
2,15.0,50,21.5,20.7,0.477,1297.0,449.0
2,15.0,60,25.2,24.7,0.468,1021.0,579.0
2,15.0,70,28.2,28.6,0.461,830.0,695.0
2,15.0,80,30.8,32.4,0.453,689.0,795.0
2,15.0,90,32.9,36.2,0.447,580.0,876.0
2,15.0,100,34.5,39.9,0.443,493.0,941.0
2,15.0,110,35.9,43.5,0.439,422.0,990.0
2,15.0,120,37.0,47.2,0.436,364.0,1025.0
2,14.0,20,6.2,7.6,0.352,4375.0,43.0
2,14.0,30,11.5,11.8,0.488,2625.0,162.0
2,14.0,40,16.3,16.0,0.49,1809.0,291.0
2,14.0,50,20.6,20.0,0.477,1355.0,420.0
2,14.0,60,24.2,23.9,0.468,1065.0,543.0
2,14.0,70,27.1,27.7,0.462,864.0,653.0
2,14.0,80,29.6,31.4,0.455,715.0,747.0
2,14.0,90,31.7,35.1,0.448,599.0,823.0
2,14.0,100,33.3,38.7,0.444,508.0,883.0
2,14.0,110,34.6,42.2,0.44,434.0,928.0
2,14.0,120,35.7,45.8,0.437,374.0,961.0
2,13.0,20,5.8,7.2,0.284,4467.0,30.0
2,13.0,30,10.8,11.3,0.483,2731.0,144.0
2,13.0,40,15.5,15.4,0.489,1895.0,266.0
2,13.0,50,19.6,19.2,0.48,1422.0,389.0
2,13.0,60,23.1,23.0,0.471,1117.0,505.0
2,13.0,70,26.0,26.7,0.463,903.0,609.0
2,13.0,80,28.5,30.3,0.457,746.0,698.0
2,13.0,90,30.5,33.8,0.45,624.0,769.0
2,13.0,100,32.1,37.4,0.446,528.0,826.0
2,13.0,110,33.4,40.8,0.442,450.0,868.0
2,13.0,120,34.5,44.3,0.437,387.0,898.0
2,12.0,30,10.1,10.8,0.478,2844.0,126.0
2,12.0,40,14.7,14.7,0.509,1989.0,241.0
2,12.0,50,18.6,18.4,0.482,1495.0,357.0
2,12.0,70,24.9,25.6,0.465,948.0,565.0
2,12.0,80,27.2,29.1,0.458,780.0,648.0
2,12.0,90,29.2,32.5,0.451,651.0,715.0
2,12.0,100,30.8,36.0,0.447,549.0,768.0
2,12.0,110,32.1,39.4,0.443,467.0,809.0
2,12.0,120,33.2,42.7,0.438,401.0,836.0
2,11.0,30,9.4,10.2,0.465,2970.0,107.0
2,11.0,40,13.7,13.9,0.487,2095.0,214.0
2,11.0,50,17.5,17.5,0.483,1578.0,324.0
2,11.0,60,20.8,21.0,0.475,1238.0,427.0
2,11.0,70,23.7,24.5,0.466,999.0,520.0
2,11.0,80,26.0,27.8,0.46,821.0,598.0
2,11.0,90,27.9,31.2,0.454,683.0,661.0
2,11.0,100,29.5,34.5,0.449,575.0,711.0
2,11.0,110,30.8,37.8,0.444,488.0,749.0
2,11.0,120,31.8,41.0,0.44,418.0,774.0
2,10.0,30,8.6,9.6,0.45,3125.0,88.0
2,10.0,40,12.7,13.1,0.489,2224.0,189.0
2,10.0,50,16.4,16.6,0.486,1681.0,290.0
2,10.0,70,22.3,23.3,0.469,1063.0,474.0
2,10.0,80,24.6,26.5,0.462,872.0,547.0
2,10.0,90,26.5,29.7,0.455,724.0,607.0
2,10.0,100,28.1,32.9,0.45,608.0,654.0
2,10.0,110,29.4,36.1,0.446,515.0,689.0
2,10.0,120,30.4,39.2,0.442,439.0,714.0
2,9.0,30,7.8,8.9,0.425,3311.0,69.0
2,9.0,40,11.7,12.3,0.487,2379.0,161.0
2,9.0,50,15.2,15.6,0.488,1805.0,256.0
2,9.0,60,18.4,18.8,0.479,1418.0,346.0
2,9.0,70,20.9,21.9,0.472,1141.0,427.0
2,9.0,80,23.2,25.1,0.464,934.0,496.0
2,9.0,90,25.1,28.1,0.458,774.0,553.0
2,9.0,100,26.6,31.2,0.453,648.0,597.0
2,9.0,110,27.9,34.2,0.448,548.0,630.0
2,9.0,120,29.0,37.3,0.443,466.0,654.0
2,8.0,40,10.7,11.3,0.478,2570.0,133.0
2,8.0,50,14.1,14.4,0.487,1959.0,221.0
2,8.0,60,17.0,17.5,0.482,1541.0,304.0
2,8.0,70,19.5,20.5,0.474,1239.0,380.0
2,8.0,80,21.7,23.5,0.467,1011.0,445.0
2,8.0,90,23.5,26.4,0.461,837.0,498.0
2,8.0,100,25.0,29.4,0.455,699.0,540.0
2,8.0,110,26.3,32.3,0.45,589.0,572.0
2,8.0,120,27.4,35.2,0.445,500.0,593.0
2,7.0,40,9.7,10.2,0.466,2832.0,106.0
2,7.0,50,12.8,13.2,0.487,2160.0,185.0
2,7.0,60,15.6,16.1,0.483,1701.0,262.0
2,7.0,70,18.0,18.9,0.477,1367.0,332.0
