tree_type,age,average_height,dbh,trees_per_ha,basal_area
coniferous,40.0,15.5,15.4,1895.0,35.0
coniferous,50.0,19.6,19.2,1422.0,41.3
coniferous,60.0,23.1,23.0,1117.0,46.4
coniferous,70.0,26.0,26.7,903.0,50.6
coniferous,80.0,28.5,30.3,746.0,53.7
coniferous,90.0,30.5,33.8,624.0,56.1
coniferous,100.0,32.1,37.4,528.0,57.8
coniferous,110.0,33.4,40.8,450.0,58.9
coniferous,120.0,34.5,44.3,387.0,59.5
coniferous,20.0,5.3,6.8,4567.0,16.9
coniferous,30.0,10.1,10.8,2844.0,26.0
coniferous,40.0,14.7,14.7,1989.0,33.6
coniferous,50.0,18.6,18.4,1495.0,39.8
coniferous,70.0,24.9,25.6,948.0,48.9
coniferous,80.0,27.2,29.1,780.0,51.9
coniferous,90.0,29.2,32.5,651.0,54.2
coniferous,100.0,30.8,36.0,549.0,55.8
coniferous,110.0,32.1,39.4,467.0,56.9
coniferous,120.0,33.2,42.7,401.0,57.4
coniferous,20.0,4.9,6.5,4682.0,15.4
coniferous,30.0,9.4,10.2,2970.0,24.5
coniferous,40.0,13.7,13.9,2095.0,32.0
coniferous,50.0,17.5,17.5,1578.0,38.2
coniferous,60.0,20.8,21.0,1238.0,43.1
coniferous,70.0,23.7,24.5,999.0,47.1
coniferous,80.0,26.0,27.8,821.0,50.0
coniferous,90.0,27.9,31.2,683.0,52.2
coniferous,100.0,29.5,34.5,575.0,53.8
coniferous,110.0,30.8,37.8,488.0,54.8
coniferous,120.0,31.8,41.0,418.0,55.3
coniferous,30.0,8.6,9.6,3125.0,22.7
coniferous,40.0,12.7,13.1,2224.0,30.2
coniferous,50.0,16.4,16.6,1681.0,36.4
coniferous,70.0,22.3,23.3,1063.0,45.2
coniferous,80.0,24.6,26.5,872.0,48.1
coniferous,90.0,26.5,29.7,724.0,50.3
coniferous,100.0,28.1,32.9,608.0,51.7
coniferous,110.0,29.4,36.1,515.0,52.7
coniferous,120.0,30.4,39.2,439.0,53.1
coniferous,30.0,7.8,8.9,3311.0,20.7
coniferous,40.0,11.7,12.3,2379.0,28.2
coniferous,50.0,15.2,15.6,1805.0,34.4
coniferous,60.0,18.4,18.8,1418.0,39.3
coniferous,70.0,20.9,21.9,1141.0,43.2
coniferous,80.0,23.2,25.1,934.0,46.1
coniferous,90.0,25.1,28.1,774.0,48.2
coniferous,100.0,26.6,31.2,648.0,49.6
coniferous,110.0,27.9,34.2,548.0,50.5
coniferous,120.0,29.0,37.3,466.0,50.9
coniferous,40.0,10.7,11.3,2570.0,25.9
coniferous,50.0,14.1,14.4,1959.0,32.1
coniferous,60.0,17.0,17.5,1541.0,37.1
